PTK2_Homo sapiens	ACTN1	11369769,16291744
LCK_Homo sapiens	ZAP70	7961936,10318843,7961936,9685404,7961936,15144186
MAPK1_Homo sapiens	MAPK1	1712480,1378617,91184134,18669648,19415658,18691976,17389395,19651622,19901323,20068231,16153436,18669648,19415658,18691976,17389395,19651622,16497976,17016520,18707149,19901323,18452278,18578522,20068231,1378617
RAF1_Homo sapiens	MAPK1	15664191
RET_Homo sapiens	MAPK1	16153436,18669648,19415658,18691976,17389395,19651622,16497976,17016520,18707149,19901323,18452278,18578522,20068231
MAP2K1_Homo sapiens	MAPK1	16153436,18669648,19415658,18691976,17389395,19651622,16497976,17016520,18707149,19901323,18452278,18578522,20068231
MAPK4_Homo sapiens	MAPK4	1319925
PRKCZ_Homo sapiens	PRKCA	12162751,10339425,8856079,18691976,20068231
SYK_Homo sapiens	PRKCA	12881490,20068231
PRKCB_Homo sapiens	PRKCB	8327493
PRKCE_Homo sapiens	PRKCE	16810323,18691976,11062054
PDPK1_Homo sapiens	PRKCE	11062054,12640464,10945988
LYN_Homo sapiens	PRKCD	10945993,7575560,7575560,10945993
PRKCD_Homo sapiens	PRKCD	17322306,18669648,19651622,18691976,20166139,20068231
PRKCZ_Homo sapiens	PRKCD	11381116,15302935,18669648,18691976,18452278,20068231,20058876,15302935,18669648,18691976,18452278,20068231,20058876
PDPK1_Homo sapiens	PRKCD	11381116,9748166,18669648,19664995,20058876
LCK_Homo sapiens	PRKCD	11381116,18691976,17389395,16497976,17016520,11381116,18691976,11381116
PRKCZ_Homo sapiens	PRKCZ	9748166,18669648
PDPK1_Homo sapiens	PRKCZ	11222751,9748166,14500673,10357815,18691976
ROCK1_Homo sapiens	RDX	9456324,20068231,9456324
PRKCA_Homo sapiens	RRAD	9677319,7876254,9677319
PRKCB_Homo sapiens	RRAD	9677319,7876254,9677319
PRKACA_Homo sapiens	RRAD	7876254,9677319
CAMK2G_Homo sapiens	RRAD	7876254,9677319
CSNK2A1_Homo sapiens	RRAD	9677319,7876254,9677319
CDK1_Homo sapiens	RAB4A	1425574
CDK1_Homo sapiens	RAB5B	10403367
PRKACA_Homo sapiens	RAP1A	9867809
PRKACA_Homo sapiens	RAP1B	12089143
FYN_Homo sapiens	PTPRF	12496362
EPHA3_Homo sapiens	EPHA3	11870224
ABL1_Homo sapiens	RAD51	10212258,9461559
CHEK1_Homo sapiens	RAD51	15665856
CDK1_Homo sapiens	RCC1	15014043
PRKDC_Homo sapiens	RPA2	9295339,18669648,9295339
CDK1_Homo sapiens	RPA2	9295339,20068231
CDK1_Homo sapiens	RB1	1756735,18669648,19664995,19651622,19664994,20068231,20058876,1756735,18669648,20068231,1756735,19651622,1756735,18669648,19651622,20068231,20058876,1756735,18669648,19651622,20068231
CDK2_Homo sapiens	RB1	10207050,10207050,20068231,10207050,18669648,20068231,9315635,9139732,8626527,18669648,19413330,19651622,19664994,20068231,1756735,18669648,19651622,20068231,20058876,1756735,18669648,19651622,20068231
CDK4_Homo sapiens	RB1	9139732,18669648,9139732,9003781,11254678,16326706,19651622,9139732,19651622,19664994,9190208,19664994,9315635,9139732,8626527,18669648,19651622,19664994,20068231
CCND2_Homo sapiens	RB1	9003781,11254678,16326706,19651622
MAPK1_Homo sapiens	RXRA	12048211
MAPK7_Homo sapiens	RXRA	12048211
PRKCA_Homo sapiens	RHO	11498053,11910029,8617805,9099669,9099669
GRK1_Homo sapiens	RHO	11498053,11910029,8617805,9099669,11498053,11910029,8617805
GRK1_Homo sapiens	GRK1	1527025
CDK1_Homo sapiens	RRM2	9990288,18669648,19413330,19415658,17924679,19664995,18767875,20058876
PAK2_Homo sapiens	RPS6	17322306,18669648,17287340,18767875,17322306,18669648,17287340,19007248,1985906,18669648
ADRBK1_Homo sapiens	RPLP2	14729942,12379128,16565220,18669648,18691976,18212344,19691289,18452278,20230923,20166139,20068231,14997482,12379128,16565220,18669648,18691976,18212344,19691289,18452278,20230923,20166139,20068231
PRKCA_Homo sapiens	DDX5	7525583
PRKACA_Homo sapiens	RYR1	8380342,14532276
CAMK2G_Homo sapiens	RYR1	8380342,14532276
PRKG1_Homo sapiens	RYR1	8380342,14532276
PRKACA_Homo sapiens	RYR2	10830164
PRKCD_Homo sapiens	CYTH1	11438522
CAMK2G_Homo sapiens	SPR	11825621
MAPK1_Homo sapiens	SOS1	8816480
PRKACA_Homo sapiens	SPTBN1	17088250,18669648,20166139,20068231
CSNK2A1_Homo sapiens	SPTBN1	17088250,18669648,20166139,20068231,17088250,20068231
SRC_Homo sapiens	SPTAN1	11971983
MAPK1_Homo sapiens	SREBF1	10915800,18669648
MAPK3_Homo sapiens	SREBF1	10915800,18669648
MAPK1_Homo sapiens	NR5A1	10230405
EPHB4_Homo sapiens	SDC3	9388509
DAPK1_Homo sapiens	STX1A	12730201
CSNK2A1_Homo sapiens	STX1A	10844023,9930733,18510355
CSNK2A2_Homo sapiens	STX1A	10844023,9930733,18510355
ITK_Homo sapiens	CD28	8992971,19901323,8992971,8992971,15144186,19901323,8992971,15144186
LCK_Homo sapiens	ITK	9312162,15144186
ITK_Homo sapiens	ITK	17192257
MAPK3_Homo sapiens	TAL1	8423803,19651622
SRC_Homo sapiens	TERT	12808100
AKT1_Homo sapiens	TERT	10224060
CDK1_Homo sapiens	TK1	9575153,14697231,19413330,20068231
CDK2_Homo sapiens	PRKAR1A	16582606,18669648,19413330,19562805,19415658,18691976,17287340,19007248,19651622,19664994,18767875,18707149,18452278,18212344,20166139,20068231,20058876,16582606
CDK2_Homo sapiens	NFYA	12857729,12857729,18669648,20068231
MAPK1_Homo sapiens	SP1	11904305
MAPK3_Homo sapiens	SP1	11904305
CSNK2A1_Homo sapiens	SP1	9153193
MAPK1_Homo sapiens	CEBPB	8384717,19413330
RPS6KA1_Homo sapiens	CEBPB	10635333
CAMK2A_Homo sapiens	CEBPB	1314426
GTF2H1_Homo sapiens	E2F1	10428966
CHEK2_Homo sapiens	E2F1	12717439
ATM_Homo sapiens	E2F1	11459832
ATR_Homo sapiens	E2F1	11459832
CDK7_Homo sapiens	E2F1	10428966
CDK1_Homo sapiens	E2F1	8087847
ABL1_Homo sapiens	ABL1	12522270,16497976,12522270,17192257,18691976
SRC_Homo sapiens	ABL1	11781820,18691976,16497976,19901323,12522270,16497976,12522270
ATM_Homo sapiens	ABL1	9168116
CDK1_Homo sapiens	ABL1	2183353,18669648,18691976,19651622,18452278
MAPK1_Homo sapiens	MYB	8960373,19651622
CSNK2A1_Homo sapiens	MYB	11313925
FES_Homo sapiens	FES	8663427
MAPK8_Homo sapiens	MYC	1748630,10551811,18669648,19651622,20068231,10551811,18669648,18767875
GSK3B_Homo sapiens	MYC	2663470,18669648,19651622,20068231
CSNK2A1_Homo sapiens	MYC	2663470,18669648,19651622,20068231
CSNK2A2_Homo sapiens	MYC	2663470,18669648,19651622,20068231
FGR_Homo sapiens	SRC	12468645,12387813,7678701,9208935
PRKCA_Homo sapiens	SRC	2996780
SRC_Homo sapiens	SRC	9988270,17389395,19664994,17016520,9988270,14661060,15466214,17389395,19664994,17016520
PRKACA_Homo sapiens	SRC	15546918,18088087,19651622,19664994,20166139
CDK5_Homo sapiens	SRC	10544291,19415658,18691976
CSK_Homo sapiens	SRC	12387813,7678701,9208935,12468645,12387813,7678701,9208935
CDK5_Homo sapiens	ERBB3	12824184
TGFBR2_Homo sapiens	TGFBR1	8576253
TGFBR2_Homo sapiens	TGFBR2	9155023,9169454
MAPK1_Homo sapiens	ZFP36	7768935,95286626
MAPKAPK2_Homo sapiens	ZFP36	14688255,18669648,14688255
PRKCA_Homo sapiens	TNNT2	2584239
MAP3K5_Homo sapiens	TNNT2	12819028
PRKACA_Homo sapiens	TPH1	9109552
MAPKAPK2_Homo sapiens	TSC2	12582162
AKT1_Homo sapiens	TSC2	12150915,15342917,19664994,12438239,15342917,16636147,18707149
MAPK1_Homo sapiens	TSC2	15851026
RPS6KA1_Homo sapiens	TSC2	15342917,20068231
SYK_Homo sapiens	TUBA4A	8617742
TTBK1_Homo sapiens	TUBB	7556643
PDIK1L_Homo sapiens	TNF	8597870
EIF2AK2_Homo sapiens	TP53	10747897,10348343,10884347,19413330
MAPK1_Homo sapiens	TP53	12091386,14965474,11409876,15116093
PRKCA_Homo sapiens	TP53	9571186,1454855
MAPK14_Homo sapiens	TP53	10747897,10348343,10884347,19413330
CSNK1A1_Homo sapiens	TP53	9765199,9765199,11875057
CSNK1D_Homo sapiens	TP53	10606744
PRKDC_Homo sapiens	TP53	9765199,11551930,11709713,10673501,10747897,11709713,11883897,10951572,11709713,11551930,10673501,11709713,11709713,10673501
MAPK8_Homo sapiens	TP53	11283254
VRK1_Homo sapiens	TP53	10747897,11709713,11883897,10951572
PLK3_Homo sapiens	TP53	11709713,11551930,10673501,12242661,12548019
CHEK1_Homo sapiens	TP53	9765199,11551930,11709713,10673501,11709713,11551930,10673501,11709713,10673501
GSK3B_Homo sapiens	TP53	11483158,12064478
HIPK2_Homo sapiens	TP53	11780126,11875057,16212962
ATM_Homo sapiens	TP53	9765199,11551930,11709713,10673501,11875057,16906133,9843217,15159397,10864201,11709713,11551930,10673501,11875057,11709713,11709713,10673501,11780126,11875057,9765199,11875057
ATR_Homo sapiens	TP53	9765199,11551930,11709713,10673501,16293623,15159397,10747897,11709713,11883897,10951572,11551930,10673501,11709713,11551930,10673501,11709713,10673501
CSNK2A1_Homo sapiens	TP53	10747897,11709713,11883897,10951572,10747897,10348343,10884347,19413330,12628923
CSNK2B_Homo sapiens	TP53	10747897,11709713,11883897,10951572
CDK2_Homo sapiens	TP53	10884347,12064478,19413330,17287340,19664995,10747897,10348343,10884347,19413330
CDK5_Homo sapiens	TP53	10884347,12064478,19413330,17287340,19664995,11483158,12064478
CDK9_Homo sapiens	TP53	16552184,10884347,12064478,19413330,17287340,19664995,10747897,10348343,10884347,19413330
MAPKAPK5_Homo sapiens	TP53	17254968
MAPK1_Homo sapiens	TNFRSF1A	11606045
AKT1_Homo sapiens	MAP3K8	12138205
PRKACA_Homo sapiens	TH	11359875
CAMK2G_Homo sapiens	TH	6150037,11359875
MAPKAPK2_Homo sapiens	TH	6150037,11359875,7901013,7901013,6150037,11359875
RPS6KA5_Homo sapiens	TH	12421349
KDR_Homo sapiens	KDR	10579917,10579917,10368301
SRC_Homo sapiens	DDR2	16186108
NTRK1_Homo sapiens	NTRK1	11159935
GSK3B_Homo sapiens	CDH1	10671552
CSNK2A1_Homo sapiens	CDH1	10671552
PRKACA_Homo sapiens	ITGA4	11533025,18707149,18578522,20166139
CSNK1A1_Homo sapiens	SLC18A2	9045708,18088087
CSNK2A1_Homo sapiens	SLC18A2	9045708,18088087
CSNK2A2_Homo sapiens	SLC18A2	9045708,18088087
SRC_Homo sapiens	VIL1	15342783
PRKCA_Homo sapiens	VIM	2500966,20068231,2500966,18669648,17287340,19691289,20068231,11895474,2500966,17287340,20068231,2500966,18669648,18212344,20068231,11895474,2500966,18669648,17287340,19007248,19691289,18767875,20068231,20058876,2500966,18669648,19415658,19007248,19691289,20068231,2500966,18669648,19664995,18212344,20068231,2500966,19664995,20068231
PRKACA_Homo sapiens	VIM	2500966,18669648,17287340,19691289,20068231,11895474,2500966,18669648,17287340,19007248,19691289,18767875,20068231,20058876,2500966,18669648,17287340,20068231,2500966,18669648,19664995,18212344,20068231
ROCK1_Homo sapiens	VIM	9565595,18669648,19007248,20166139,20068231
PAK2_Homo sapiens	VIM	11895474,2500966,17287340,20068231,11895474,2500966,18669648,17287340,19007248,19691289,18767875,20068231,20058876,11895474,18669648,19007248,19664995,18212344,19691289,20068231,11895474,18669648,20068231,11895474,18669648,19007248,19651622,18578522,20166139,20068231
CAMK2D_Homo sapiens	VIM	10852918,15345747,18669648,20166139,20068231
CDK1_Homo sapiens	VIM	7983050,15345747,16565220,18669648,19413330,19415658,18691976,17287340,17924679,18491316,19007248,19664995,18212344,19651622,19691289,16964243,18707149,18767875,18578522,20068230,20068231,20058876
PRKCA_Homo sapiens	VCL	11741957
SRC_Homo sapiens	VCL	15229287
PRKCA_Homo sapiens	VTN	9030777
PRKCB_Homo sapiens	VTN	9030777
PRKCG_Homo sapiens	VTN	9030777
PRKACA_Homo sapiens	VTN	1706595
CSNK2A1_Homo sapiens	VTN	9733784
BRSK1_Homo sapiens	WEE1	15150265
PLK1_Homo sapiens	WEE1	15070733
BRSK2_Homo sapiens	WEE1	15150265
WEE1_Homo sapiens	WEE1	17192257,18691976,19651622
CSNK2A1_Homo sapiens	XRCC1	15066279,18452278
CSNK2A2_Homo sapiens	XRCC1	15367657,18452278,15066279,18452278
PRKAA2_Homo sapiens	ACACA	11052978,2900138,18669648,18212344,19651622,18707149,18767875,20166139,20068231,2900138,18669648,18212344,19651622,18707149,18767875,20166139,20068231,7907095,2900138,18669648,18212344,19651622,18707149,18767875,20166139,20068231
PRKAA1_Homo sapiens	ACACA	11052978,2900138,18669648,18212344,19651622,18707149,18767875,20166139,20068231,7907095,2900138,2900138,18669648,18212344,19651622,18707149,18767875,20166139,20068231,7907095,2900138,18669648,18212344,19651622,18707149,18767875,20166139,20068231
CSNK2A1_Homo sapiens	ACACA	2900140,18669648,19413330,19415658,19664995,18212344,19651622,19664994,18767875,18691976,18452278,20166139,20068231
CSNK2A2_Homo sapiens	ACACA	2900140,18669648,19413330,19415658,19664995,18212344,19651622,19664994,18767875,18691976,18452278,20166139,20068231
CSNK2A1_Homo sapiens	C1R	8635594
PRKACA_Homo sapiens	SI	8521865
CSNK2A1_Homo sapiens	F5	9525959,19824718
ATM_Homo sapiens	FANCD2	12086603,20068231,12086603
MRE11A_Homo sapiens	FANCD2	12447395
ATR_Homo sapiens	XPA	16540648
PRKDC_Homo sapiens	XPA	16540648
ATM_Homo sapiens	XPA	16540648
CAMK2G_Homo sapiens	FLNA	11290523
AKT1_Homo sapiens	FOXO4	11313479,16272144,10217147,11313479,16272144,11689711,11313479,19664994
AKT2_Homo sapiens	FOXO4	11313479,19664994
ATM_Homo sapiens	SMC1A	15302935,18669648,18077418,18452278,20068231,11877377,9789013,18669648,18077418,18452278,20068231
RPS6KA3_Homo sapiens	RPS6KA3	17192257,18691976,20230923,17192257,17322306,18669648,18691976,19651622,20230923,17192257,18669648,18691976,17924679,19007248,19651622,19664994,20068231,20058876,17192257,18669648,18691976,19651622,18767875,20230923
AKT1_Homo sapiens	XIAP	14645242
AKT2_Homo sapiens	XIAP	14645242
SRC_Homo sapiens	PRKCI	11713277
ITK_Homo sapiens	BMX	12573241
SRC_Homo sapiens	BMX	10688651
BTK_Homo sapiens	BMX	12573241
TEC_Homo sapiens	BMX	12573241
PTK2_Homo sapiens	BMX	11331870
CDK5_Homo sapiens	DCX	14741103,14741103,15345747
PAK3_Homo sapiens	PAK3	11278486,16204230
IKBKB_Homo sapiens	IKBKG	12657630,12657630,18691976
CSNK2A1_Homo sapiens	PIN4	12860119
CSNK2A2_Homo sapiens	PIN4	12860119
PRKACA_Homo sapiens	HDAC8	14701748
IRAK1_Homo sapiens	IRAK1	11960013,12138165
IRAK4_Homo sapiens	IRAK1	11960013
AKT1_Homo sapiens	IRAK1	11976320
LYN_Homo sapiens	BTK	11226282,11598012,8629002,8630736
PRKCB_Homo sapiens	BTK	11598012
ITK_Homo sapiens	BTK	12445832,8630736,11598012,8629002,12573241,16497976
ABL1_Homo sapiens	BTK	12445832,8630736,11598012,8629002,12573241,16497976
BTK_Homo sapiens	BTK	12445832,8630736,11598012,8629002,12573241,16497976
SYK_Homo sapiens	BTK	11226282,11598012,8629002,8630736
TEC_Homo sapiens	BTK	12445832,8630736,11598012,8629002,12573241,16497976
BTK_Homo sapiens	WAS	12235133,10068673,12769846,9742969,18088087,16497976,19901323
CSNK2A1_Homo sapiens	WAS	12769847,18088087
CSNK2A2_Homo sapiens	WAS	12769847,18088087
HCK_Homo sapiens	WAS	12235133,10068673,12769846,9742969,18088087,16497976,19901323
PRKCA_Homo sapiens	GJB1	8390988
PRKACA_Homo sapiens	GJB1	8390988
AKT1_Homo sapiens	GATA1	16107690,8206977
RPS6KA1_Homo sapiens	L1CAM	8663493
RPS6KA2_Homo sapiens	L1CAM	8663493
CSNK2A1_Homo sapiens	L1CAM	8592152,8592152,18669648,19651622,18452278,20068231
PRKCQ_Homo sapiens	MSN	9516463,9856983
ROCK1_Homo sapiens	MSN	9516463,9856983
MAPK1_Homo sapiens	ELK1	15782123,12947314
MAPK14_Homo sapiens	ELK1	9130707,8548291
MAPK9_Homo sapiens	ELK1	9130707,8548291
TAOK2_Homo sapiens	ELK1	12665513
PRKACA_Homo sapiens	CDK16	12154078,18691976,19651622,20068231,17322306,18691976,19651622,18212344,20068231,12154078,18691976,17322306,18669648,18691976,19651622,18767875,18212344,20068231
CDK5_Homo sapiens	CDK16	12084709,18691976
CDK16_Homo sapiens	CDK16	17192257,18669648,19413330,18691976,18212344
PHKA1_Homo sapiens	PHKA1	2108025,10487978,10487978,2108025,10487978,18669648
PRKACA_Homo sapiens	PHKA1	2108025
PDK1_Homo sapiens	PDHA1	15302935,19415658,18088087,18767875,18691976,18212344,20166139,20068231,20058876,12676647,11486000,11485553,19415658,18767875,18691976,18212344,20166139,12676647,11486000,11485553,19415658,18691976,18212344,20166139
PDK2_Homo sapiens	PDHA1	12676647,11486000,11485553,19415658,18767875,18691976,18212344,20166139,12676647,11486000,11485553,19415658,18691976,18212344,20166139
PDK3_Homo sapiens	PDHA1	15302935,19415658,18088087,18767875,18691976,18212344,20166139,20068231,20058876,12676647,11486000,11485553,19415658,18767875,18691976,18212344,20166139
PDK4_Homo sapiens	PDHA1	12676647,11486000,11485553,19415658,18767875,18691976,18212344,20166139,12676647,11486000,11485553,19415658,18691976,18212344,20166139
PRKCA_Homo sapiens	RPL10	9016777,12138090
CDK1_Homo sapiens	UBE2A	11953320
CDK2_Homo sapiens	UBE2A	11953320
CSNK2A1_Homo sapiens	SHOX	16325853
CSNK2A1_Homo sapiens	SAT1	8954982
CSNK2A2_Homo sapiens	SAT1	8954982
PRKACA_Homo sapiens	SYN1	10571231,12237306
CAMK2G_Homo sapiens	SYN1	3118371
CAMK1_Homo sapiens	SYN1	10571231,12237306,9395448,10571231,12237306
PAK2_Homo sapiens	SYN1	10571231,12237306
CDK5_Homo sapiens	SYN1	8702879
PAK3_Homo sapiens	SYN1	12237306
PAK1_Homo sapiens	SYN1	12237306
AKT1_Homo sapiens	AR	11404460,11156376,11404460
MAPK1_Homo sapiens	AR	10318905
CDK1_Homo sapiens	UBA1	7673335,20068231,7724583,18669648,19413330,19651622,20068231
PRKACA_Homo sapiens	CACNB2	10441130,10567342,10441130
PRKACA_Homo sapiens	CIITA	11416140
ADRBK2_Homo sapiens	OPRM1	11060299
ADRBK1_Homo sapiens	OPRM1	12123746
PRKACA_Homo sapiens	ABCA1	12196520
MAP3K11_Homo sapiens	MAP3K11	11053428
MAP4K1_Homo sapiens	MAP3K11	11053428
AKT1_Homo sapiens	MAP3K11	12458207
SRC_Homo sapiens	TXK	11353545
TXK_Homo sapiens	TXK	12081135
FYN_Homo sapiens	TXK	11353545
PRKCA_Homo sapiens	ITGB2	11700305
PRKCB_Homo sapiens	ITGB2	11700305
PRKCD_Homo sapiens	ITGB2	11700305
PRKCH_Homo sapiens	ITGB2	11700305
PRKCA_Homo sapiens	PTPN12	7520867,7520867,18669648,19651622,18767875,20068231
PRKACA_Homo sapiens	PTPN12	7520867,7520867,18669648,19651622,18767875,20068231
LYN_Homo sapiens	SYK	9820500
SYK_Homo sapiens	SYK	9820500,9857068,17389395,16497976,17016520,20058876,8657103,16497976,8657103
SGK1_Homo sapiens	SLC1A3	12911626
PRKACA_Homo sapiens	PDE4B	12441002
PRKACA_Homo sapiens	PDE4D	8663227,8663227,18212344,20068231
PRKCD_Homo sapiens	CREBBP	11463380
CAMK4_Homo sapiens	CREBBP	11970865
MST1R_Homo sapiens	MST1R	10871856
JAK3_Homo sapiens	JAK3	15121872,9391116,19901323
ZAP70_Homo sapiens	DUSP3	12447358
PLK1_Homo sapiens	BRCA2	12815053
LYN_Homo sapiens	PLCG2	12181444,7682059,15144186,12181444,7682059,16497976,19901323
BTK_Homo sapiens	PLCG2	11507089,11507089,16497976,19901323,12181444,7682059,16497976,19901323
FYN_Homo sapiens	PLCG2	12181444,7682059,15144186,12181444,7682059,16497976,19901323
HCK_Homo sapiens	PLCG2	12181444,7682059,15144186,12181444,7682059,16497976,19901323
LCK_Homo sapiens	PLCG2	12181444,7682059,15144186,12181444,7682059,16497976,19901323
TEK_Homo sapiens	TEK	10521483,9632797,11080633
CAMK2G_Homo sapiens	PLCB3	15302935,18669648,19651622,20068231
PRKG1_Homo sapiens	PLCB3	11278298,19651622,11278298
PRKG2_Homo sapiens	PLCB3	11278298,19651622,11278298
CAMK2B_Homo sapiens	PLCB3	15302935,18669648,19651622,20068231
CDK2_Homo sapiens	HIRA	11238922,19413330,11238922,20068231
MAPK14_Homo sapiens	ELK3	11042694
MAPK8_Homo sapiens	ELK3	11042694
MAPK9_Homo sapiens	ELK3	11042694
CDK2_Homo sapiens	COIL	11102515
GSK3B_Homo sapiens	NOTCH2	12794074,15302935,18669648,20068231,12794074,18669648
CDK2_Homo sapiens	ID3	9372912
PRKACA_Homo sapiens	RAP1GAP	1406653,1406653,18669648
CDK1_Homo sapiens	RAP1GAP	1406653,18669648,18767875,20068231
PRKAA2_Homo sapiens	HNF4A	12740371
MAPK14_Homo sapiens	HNF4A	16351573
MAP2K6_Homo sapiens	MAPK14	17322306,18669648,18691976,19651622,18767875,20068231,16153436,18669648,18691976,18088087,19651622,16497976,17016520,19901323,18452278,20068231
MAP2K3_Homo sapiens	MAPK14	17322306,18669648,18691976,19651622,18767875,20068231
RET_Homo sapiens	MAPK14	16153436,18669648,18691976,18088087,19651622,16497976,17016520,19901323,18452278,20068231
CAMK2G_Homo sapiens	ADCY3	8798667,9768837
CDK2_Homo sapiens	CDX2	16027724
GSK3B_Homo sapiens	CDX2	16027724
MAPK14_Homo sapiens	CDX2	16027724
HCK_Homo sapiens	RAPGEF1	14551197,12734187,10318861
CSNK2A1_Homo sapiens	AQP4	11742978
CSNK2A2_Homo sapiens	AQP4	11742978
PRKCA_Homo sapiens	SNAP25	12459461
PRKACA_Homo sapiens	SNAP25	12459461
PLK1_Homo sapiens	MYT1	12738781
CDK2_Homo sapiens	ID2	9029153
PRKCD_Homo sapiens	MEP1B	12941954
CDK1_Homo sapiens	FEN1	12853968
DDR1_Homo sapiens	DDR1	9659899
CDK1_Homo sapiens	AMPH	11113134
CDK5_Homo sapiens	AMPH	11113134
EGFR_Homo sapiens	VAV2	12454019,17389395,17016520,11516622,12454019,12454019
INSR_Homo sapiens	FABP4	1648089,8463311
LCK_Homo sapiens	PRKCQ	10652356
PRKCQ_Homo sapiens	PRKCQ	16252004
NTRK2_Homo sapiens	NTRK2	10533983
PRKCA_Homo sapiens	NFATC1	9072970,12351631
PRKCD_Homo sapiens	NFE2L2	12198130
CSNK2A1_Homo sapiens	SUB1	7809103,7809103,18669648,20068231,7809103,18669648,19651622,20068231
TAF1_Homo sapiens	GTF2A1	11278496,11278496,18452278
CSNK2A1_Homo sapiens	GTF2A1	11278496,11278496,18452278
CSNK2A2_Homo sapiens	GTF2A1	11278496,11278496,18452278
PRKCA_Homo sapiens	DLX3	11343707
PRKACA_Homo sapiens	ETV1	12569367,12917345,12213813,11551945,12569367,12213813
RPS6KA1_Homo sapiens	ETV1	12569367,12917345,12213813,11551945,12569367,12213813
RPS6KA5_Homo sapiens	ETV1	12569367
MAPKAPK2_Homo sapiens	ETV1	11551945
RPS6KA1_Homo sapiens	NR4A3	16223362
KIT_Homo sapiens	STAT1	9355737
TYK2_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
PRKCD_Homo sapiens	STAT1	7543024,9355737,14963018,11972023,11839738,15322115,7690989,12637327,18669648,18691976,18452278,20068231,20058876
CAMK2G_Homo sapiens	STAT1	7543024,9355737,14963018,11972023,11839738,15322115,7690989,12637327,18669648,18691976,18452278,20068231,20058876
RPS6KA5_Homo sapiens	STAT1	7543024,9355737,14963018,11972023,11839738,15322115,7690989,12637327,18669648,18691976,18452278,20068231,20058876
EGFR_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
FGFR3_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
FGFR4_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
JAK1_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,10982844,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
JAK2_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,11152457,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
LCK_Homo sapiens	STAT1	7657660,11294897,10918587,15322115,7543024,11839738,12817007,7690989,12637327,7657660,7543024,7690989,12637327,10918587,15322115,11839738,12817007
JAK1_Homo sapiens	STAT2	9020188
MAPK14_Homo sapiens	STAT4	10961885
MAP2K6_Homo sapiens	STAT4	10961885
SRC_Homo sapiens	SHC1	9685404,15688026,17389395,16497976,17016520,19901323,20068231,9685404,15688026,17389395,16497976,19901323,20068231,10482988,9710204,9388490,17389395,16497976,17016520,19901323,20068231,9710204,9388490,9096689,10482988,17389395,16497976,19901323,20068231
SYK_Homo sapiens	SHC1	9685404,15688026,17389395,16497976,17016520,19901323,20068231,9685404,15688026,17389395,16497976,19901323,20068231,10482988,9710204,9388490,17389395,16497976,17016520,19901323,20068231,9710204,9388490,9096689,10482988,17389395,16497976,19901323,20068231
FLT3_Homo sapiens	SHC1	10482988,9710204,9388490,17389395,16497976,17016520,19901323,20068231,9710204,9388490,9096689,10482988,17389395,16497976,19901323,20068231,12237775,11075717,10764799,9121430,9446569,10816433,10896916,10921922,9741627,9710204,10482988,18669648,17389395,19651622,16497976,19664994,17016520,19901323,18452278,18578522,20230923,20068231
FYN_Homo sapiens	SHC1	12237775,11075717,10764799,9121430,9446569,10816433,10896916,10921922,9741627,9710204,10482988,18669648,17389395,19651622,16497976,19664994,17016520,19901323,18452278,18578522,20230923,20068231
INSR_Homo sapiens	SHC1	12237775,11075717,10764799,9121430,9446569,10816433,10896916,10921922,9741627,9710204,10482988,18669648,17389395,19651622,16497976,19664994,17016520,19901323,18452278,18578522,20230923,20068231
LCK_Homo sapiens	SHC1	12237775,11075717,10764799,9121430,9446569,10816433,10896916,10921922,9741627,9710204,10482988,18669648,17389395,19651622,16497976,19664994,17016520,19901323,18452278,18578522,20230923,20068231
PRKCA_Homo sapiens	SHC1	12052829,18669648,19651622,17924679
ZAP70_Homo sapiens	SHC1	9685404,15688026,17389395,16497976,17016520,19901323,20068231,9685404,15688026,17389395,16497976,19901323,20068231,12237775,11075717,10764799,9121430,9446569,10816433,10896916,10921922,9741627,9710204,10482988,18669648,17389395,19651622,16497976,19664994,17016520,19901323,18452278,18578522,20230923,20068231,10482988,9710204,9388490,17389395,16497976,17016520,19901323,20068231,9710204,9388490,9096689,10482988,17389395,16497976,19901323,20068231
TEC_Homo sapiens	TEC	12573241
CSNK2A1_Homo sapiens	NKX2-5	9858576
PRKDC_Homo sapiens	SRF	8407951
RPS6KA1_Homo sapiens	SRF	10753652,8413226,10318869
CAMK2A_Homo sapiens	SRF	10753652,8413226,10318869,10753652
